id,participant_id,participant_no,condition_id,condition_type,task_order,task_type,survey_number,perceived_compliance_1,perceived_compliance_2,perceived_compliance_3,perceived_compliance_4,perceived_conversion_1,perceived_conversion_2,perceived_conversion_3,perceived_conversion_4,concentration_test,agent_competence,agent_predictability,agent_integrity,agent_understanding,agent_utility,agent_affect,agent_trust,agent1_competence,agent1_predictability,agent1_integrity,agent1_understanding,agent1_utility,agent1_affect,agent1_trust,agent3_competence,agent3_predictability,agent3_integrity,agent3_understanding,agent3_utility,agent3_affect,agent3_trust,created_at
f7067165-7e31-40de-b642-3c9b416ef018,5cc0e14d-5fe2-4447-b4ca-5994e3e10831,47,47.0,minority,informativeFirst,informative,1,4,3,3,2,3,5,3,3,4,,,,,,,,5.0,6.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2025-09-09 18:51:39.833822+00:00
5a6a5876-8bea-42c4-9744-be654c08e542,5cc0e14d-5fe2-4447-b4ca-5994e3e10831,47,47.0,minority,informativeFirst,normative,2,2,2,1,2,2,6,6,5,4,,,,,,,,6.0,6.0,6.0,5.0,5.0,4.0,6.0,1.0,6.0,5.0,5.0,5.0,4.0,5.0,2025-09-09 19:28:00.311563+00:00
40e2d45b-4fa6-4f3e-85c0-f3bfbb665269,586f1871-adb3-424f-b2e5-45545395dc93,48,48.0,minorityDiffusion,normativeFirst,informative,2,7,5,6,7,6,4,2,2,4,,,,,,,,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,2025-09-09 17:58:52.626954+00:00
e73d5914-af92-487a-a689-6b665994f8ff,586f1871-adb3-424f-b2e5-45545395dc93,48,48.0,minorityDiffusion,normativeFirst,normative,1,3,2,4,5,3,5,3,2,4,,,,,,,,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,2025-09-09 17:50:13.419281+00:00
bdc7a937-6d4c-4c23-8fbc-b7105e43f6d7,69268d3f-39bc-4530-924b-d854ebbd35e4,49,49.0,majority,informativeFirst,informative,1,7,2,1,1,4,7,7,6,4,7.0,7.0,6.0,6.0,6.0,7.0,6.0,,,,,,,,,,,,,,,2025-09-09 17:36:53.166519+00:00
580bd0f8-59e4-428e-91ab-db3b1386f533,69268d3f-39bc-4530-924b-d854ebbd35e4,49,49.0,majority,informativeFirst,normative,2,2,4,3,1,2,6,5,6,4,6.0,6.0,4.0,3.0,2.0,6.0,5.0,,,,,,,,,,,,,,,2025-09-09 17:48:36.556512+00:00
e97aa696-2b5c-4232-8129-885e8e5d91bf,134c2569-bfe7-414e-86a0-d3b3f948f5e9,50,50.0,minority,normativeFirst,informative,2,5,2,1,1,2,7,5,5,4,,,,,,,,6.0,6.0,5.0,5.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2025-09-09 19:35:27.628354+00:00
54104b25-e6c4-466b-87fb-45e5d5f4c1c5,134c2569-bfe7-414e-86a0-d3b3f948f5e9,50,50.0,minority,normativeFirst,normative,1,2,1,1,2,2,7,7,7,4,,,,,,,,6.0,6.0,7.0,7.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,6.0,5.0,5.0,2025-09-09 19:03:29.878664+00:00
b90deca2-1520-45b4-8cbe-9e9caddb9fb3,07d88852-7da1-4eaa-9413-468d15f8dc10,51,51.0,minorityDiffusion,informativeFirst,informative,1,3,3,1,1,2,7,7,5,4,,,,,,,,4.0,6.0,6.0,3.0,5.0,4.0,4.0,6.0,6.0,6.0,3.0,5.0,4.0,4.0,2025-09-09 17:37:00.742292+00:00
4c721cba-5771-4ded-bd24-60752cc4a931,07d88852-7da1-4eaa-9413-468d15f8dc10,51,51.0,minorityDiffusion,informativeFirst,normative,2,1,1,1,1,1,7,7,6,4,,,,,,,,6.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,3.0,3.0,3.0,2025-09-09 17:47:03.690411+00:00
92619548-ebd6-42ed-9124-d6480b3e88f2,0ddcc4f5-84cf-4232-91c2-55d084eda6e9,52,52.0,majority,normativeFirst,informative,2,1,1,1,1,3,7,6,6,4,3.0,6.0,2.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2025-09-09 17:44:39.746560+00:00
1af7ee93-7f74-49db-ab6d-aaba936915ff,0ddcc4f5-84cf-4232-91c2-55d084eda6e9,52,52.0,majority,normativeFirst,normative,1,1,1,1,1,2,7,6,7,4,5.0,5.0,3.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2025-09-09 17:37:17.235191+00:00
1086add0-7a82-4e05-b2fa-4f3671fa9466,bf38b76e-3b5d-4be2-8904-0f30398f1aca,53,53.0,minority,informativeFirst,informative,1,2,1,1,1,1,6,6,6,4,,,,,,,,3.0,6.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2025-09-09 17:52:37.340287+00:00
5d0ac47a-8c2e-4557-a08a-ab7fb8dafd8e,bf38b76e-3b5d-4be2-8904-0f30398f1aca,53,53.0,minority,informativeFirst,normative,2,1,1,1,1,1,7,6,7,4,,,,,,,,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,2025-09-09 18:09:50.828475+00:00
e5cd2d19-3c24-4ecc-8ba8-7cad32093b65,14bf7228-fadd-491c-8cc4-c74dd4c3fba6,54,54.0,minorityDiffusion,normativeFirst,informative,2,6,6,3,3,5,6,5,5,4,,,,,,,,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,2025-09-09 17:57:12.358933+00:00
3a23268b-4b1e-4fed-ae66-7f46bb7c769a,14bf7228-fadd-491c-8cc4-c74dd4c3fba6,54,54.0,minorityDiffusion,normativeFirst,normative,1,6,5,3,3,5,5,5,5,4,,,,,,,,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,2025-09-09 17:47:16.670206+00:00
4da47843-3f92-4dcc-bc10-6b992e5a52a7,0970deef-da21-4b37-bddf-814b4a94c050,55,18.0,minorityDiffusion,normativeFirst,informative,2,1,1,1,1,1,7,1,7,4,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2025-09-09 17:59:31.561769+00:00
46554492-c8fc-4232-b417-eb689cc73cb1,0970deef-da21-4b37-bddf-814b4a94c050,55,18.0,minorityDiffusion,normativeFirst,normative,1,1,1,5,1,1,6,4,6,4,,,,,,,,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2025-09-09 17:47:07.494582+00:00
bae3e1dc-19d5-4dc1-a9b1-5d96d4a75f95,75db1808-af29-4ad0-bee6-29558574533b,56,56.0,minority,normativeFirst,informative,2,6,3,1,1,6,6,3,7,4,,,,,,,,6.0,6.0,7.0,7.0,7.0,6.0,6.0,3.0,4.0,3.0,5.0,2.0,4.0,2.0,2025-09-09 17:39:33.140216+00:00
cf1b5238-4447-4fae-a522-471b74d02989,75db1808-af29-4ad0-bee6-29558574533b,56,56.0,minority,normativeFirst,normative,1,1,1,1,1,1,7,7,7,4,,,,,,,,6.0,5.0,6.0,7.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,2025-09-09 17:34:18.804815+00:00
89cc5a3d-eb6b-4f9f-a295-9bb0ae97e78d,4f37c0a8-685a-4f8e-863c-f27a94a4236d,57,,minorityDiffusion,informativeFirst,informative,1,4,3,2,3,5,5,5,5,4,,,,,,,,6.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,2025-09-09 18:02:43.114847+00:00
e9da27df-e619-4ae6-bc31-8b9f84601389,4f37c0a8-685a-4f8e-863c-f27a94a4236d,57,,minorityDiffusion,informativeFirst,normative,2,3,2,2,3,4,5,2,4,4,,,,,,,,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2025-09-09 18:22:42.458779+00:00
2505b1bd-0a99-48b2-9641-623ccc891e95,93ad0c45-b342-4f90-8198-b588bced4349,58,,majority,normativeFirst,informative,2,4,5,4,4,5,5,4,5,4,3.0,4.0,5.0,4.0,4.0,5.0,4.0,,,,,,,,,,,,,,,2025-09-09 18:29:38.169754+00:00
2a0e0a48-b53b-49dd-bcbd-22a8dfc1f1ff,93ad0c45-b342-4f90-8198-b588bced4349,58,,majority,normativeFirst,normative,1,4,3,3,4,4,3,4,4,4,4.0,4.0,3.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,2025-09-09 18:19:44.427952+00:00
435fa54b-de46-46de-a440-52a6d992756e,6ae81c9a-e082-4873-ae39-7c0f54a06c50,59,59.0,minority,informativeFirst,informative,1,4,2,2,4,3,6,4,5,4,,,,,,,,7.0,7.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,6.0,5.0,5.0,5.0,2025-09-09 17:45:56.439714+00:00
ea07f68a-4202-46b9-9196-715021c149cb,6ae81c9a-e082-4873-ae39-7c0f54a06c50,59,59.0,minority,informativeFirst,normative,2,5,3,3,3,5,5,3,6,4,,,,,,,,6.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,2025-09-09 17:57:28.339310+00:00
